TSPAN13	0	0	0	1	1	0	1.74608991969896e-07	4.96549382699371e-06	1.73190677554404e-05
LILRA3	0.528536497358836	0.52802653332761	0.0133745478208144	0.471463502641164	0.47197346667239	0.0133745478208144	2.67218798426316e-06	1.03932118946341e-05	1.02805957186386e-05
IFNAR1	0.0465925387170724	0.0458822992155883	0.00790774743578742	0.953407461282928	0.954117700784412	0.00790774743578742	4.09731911441582e-09	8.31633594483149e-06	2.19658527171092e-05
CHUK	0.0241911517887778	0.0239331386645743	0.00762022505544933	0.975808848211222	0.976066861335426	0.00762022505544932	3.11144184564977e-08	9.90320610817187e-06	4.72739985661685e-05
ABCD2	0	0	0	1	1	0	1.05416416116737e-07	1.99826464589286e-05	0.00017286945974377
MAP3K7	0.0180440328368978	0.018019305948932	0.00331112107683014	0.981955967163102	0.981980694051068	0.00331112107683013	8.89631389719196e-07	5.98927361574792e-06	1.55606962282933e-05
MAP2K6	0.332727156276338	0.333444957076652	0.021847804382417	0.667272843723662	0.666555042923348	0.021847804382417	2.86570214950664e-06	1.2125631224019e-05	1.75711068865134e-05
ATG4C	0.0633864403414537	0.0635490873742896	0.010171707638178	0.936613559658546	0.93645091262571	0.010171707638178	1.4018501380527e-08	8.06793137571888e-06	1.58905324051228e-05
TIRAP	0	0	0	1	1	0	8.96775137310605e-09	5.32696045302997e-06	2.71565699440378e-05
RAB7L1	0.339476977248643	0.33936883444873	0.0131905847671811	0.660523022751357	0.66063116555127	0.0131905847671811	2.13504275468905e-06	1.39469992115631e-05	2.45215309747457e-05
CTSH	0.497105930444025	0.498466526952212	0.024248877629907	0.502894069555975	0.501533473047788	0.024248877629907	3.67612925640208e-10	1.27558379603238e-05	4.35552197064665e-05
CD69	0.287677125780028	0.286651974228394	0.0151914771680674	0.712322874219972	0.713348025771606	0.0151914771680674	2.33489394304032e-07	8.00934520458761e-06	1.24643886561854e-05
HMBS	0	0.000594066332306645	0.00416936138444555	1	0.999405933667693	0.00416936138444555	7.07990862075359e-08	2.39395190664581e-05	0.00019429673825402
C19orf12	0.11491276541984	0.114733143402947	0.00951294561421749	0.88508723458016	0.885266856597053	0.00951294561421748	2.75162317402785e-07	1.48715220288627e-05	7.75594675764824e-05
RNF122	0	0	0	1	1	0	7.180950607419e-09	1.9498285144846e-05	0.000161727942088843
LOC388022	0	0	0	1	1	0	5.84425484022809e-09	6.18807171082774e-06	4.17359953232787e-05
IKBKB	0.0748709257410115	0.0748902055920366	0.00582210445826363	0.925129074258988	0.925109794407963	0.00582210445826362	5.682146954232e-08	8.12698991878974e-06	1.67334300845187e-05
CASP7	0.263546326573075	0.264230112780944	0.0216711324062876	0.736453673426925	0.735769887219056	0.0216711324062876	8.23926496309559e-08	8.99407500934989e-06	1.78651497344141e-05
IL15	0.00800553889104562	0.0084011223113582	0.00664921746273929	0.991994461108954	0.991598877688642	0.00664921746273929	4.06985099675268e-07	8.50606539865817e-06	2.58018954497916e-05
MAP3K8	0.132818123904051	0.132189753573972	0.0111077039448506	0.867181876095949	0.867810246426028	0.0111077039448507	3.36419422475896e-09	8.39740557562728e-06	1.55016343212986e-05
MAP2K4	0.0540904812006511	0.0537951582676662	0.00540938161829073	0.945909518799349	0.946204841732334	0.00540938161829074	3.27178372286634e-06	1.82349967906779e-05	6.97200024953112e-05
HELB	0.0357076830831525	0.0359071976675271	0.0115415113522876	0.964292316916847	0.964092802332473	0.0115415113522876	3.08595048824902e-07	7.10282417534654e-06	1.52877656082191e-05
MS4A7	0.39424866162029	0.394163383086878	0.013414858016407	0.60575133837971	0.605836616913122	0.013414858016407	1.04414152484748e-07	7.36268303042561e-06	1.08901248503534e-05
CD14	0.673308426274776	0.672953572700558	0.00872549389185027	0.326691573725224	0.327046427299442	0.00872549389185026	1.10889158809289e-08	8.41275025725596e-06	1.47677176862413e-05
TANK	0.128400950179783	0.12994285478139	0.0176142083027793	0.871599049820217	0.87005714521861	0.0176142083027793	9.61767184208098e-07	1.69976279566538e-05	6.28344014461171e-05
EMR1	0.0282924538379482	0.0281113717098642	0.00878889244735633	0.971707546162052	0.971888628290136	0.00878889244735633	3.77961157479863e-08	1.11682362472085e-05	5.25949915838331e-05
TLR3	0.28508116497412	0.285155862686556	0.0148597724744825	0.71491883502588	0.714844137313444	0.0148597724744825	3.95811310052783e-07	8.38849343534169e-06	1.43282968155984e-05
NDP	0	0	0	1	1	0	9.75693487130058e-08	6.8202705587727e-06	5.47417316539863e-05
PDCD1	0	0	0	1	1	0	9.65985538568315e-08	2.05329348406569e-05	0.000168070798217381
IL28A	0	0	0	1	1	0	3.77563091964428e-09	1.70314668982068e-05	0.000150596143907306
PEX16	0	0	0	1	1	0	4.11332465871249e-08	6.25493211152381e-06	1.97553947972669e-05
GBP1	0.0466396452270318	0.0492420434871195	0.0285919916518653	0.953360354772968	0.950757956512881	0.0285919916518653	1.54694526138854e-08	1.72207260460484e-05	9.67974826991286e-05
IRF7	0.0157870914243297	0.0159076892055656	0.0110770796723382	0.98421290857567	0.984092310794434	0.0110770796723382	5.93855855053721e-08	1.41012378842048e-05	6.20489711041104e-05
ERAP1	0.521747007587289	0.52205601992515	0.0154807922668306	0.47825299241271	0.47794398007485	0.0154807922668306	1.01214982606498e-06	8.60323987209125e-06	1.24782003479398e-05
EHD1	0	0	0	1	1	0	3.80088581474928e-08	1.69622205803176e-05	0.000116414272003761
FRMD3	0.317825024492722	0.317806206290841	0.0147707496013009	0.682174975507278	0.682193793709159	0.0147707496013009	2.39651137545945e-06	1.1223220749275e-05	2.80261574170357e-05
